课程类型,课程链接,参加人数,授课老师,课程名称,课程学校,课程标签,开课开始时间,开课结束时间,课程概述,课程状态,课程评分,封面图
计算机基础与应用,https://www.icourse163.org/course/SDU-100001,1512,郝兴伟,大学计算机--计算思维的视角,山东大学,国家精品,2022年09月05日,2022年12月26日,“大学计算机—计算思维的视角”是高等学校计算机公共教学核心课程，是大学通识教育的重要组成部分。课程以培养学生的信息素养和计算思维为主线进行课程内容设置，其教学目标是：全面培养学生的信息素养，培养学生良好的计算思维能力，传授计算机科学基础知识，为各学科学生计算机相关课程的学习打好基础，最终提高学生的计算机问题求解能力和计算机应用水平。,课程即将开始,4.45,http://img-ph-mirror.nosdn.127.net/FPfl1_wEmtdhbjD-I6--LQ==/6619398648793464169.jpg
计算机基础与应用,https://www.icourse163.org/course/TONGJI-47017,26702,杨志强,大学计算机基础,同济大学,国家精品,2022年09月01日,2022年12月25日, 本课程是根据教育部教指委的要求开设的第一门计算机基础课程。 本课程吸纳了国内外最新的教学研究成果，兼顾了初学计算机的学生，反映了当代计算机学科的最新成就，具有厚实的课程内容体系，为学习后续计算机基础课程夯实基础。 本课程的教学目标是拓宽知识面、提高应用能力、培养创新能力，即： （1）培养计算思维意识和能力；（2）拓宽计算机基础知识面：介绍计算机的基本原理、技术和方法，引入计算机新技术和了解计算机发展趋势； （3）培养计算机的基本使用技能：常用操作系统和应用软件的使用； （4）提高计算机的应用能力：重点是网络、多媒体、数据库等技术的基本知识和应用；理解信息安全和程序设计方面的基本知识。 （5）通过实践培养创新意识和动手能力，为学习后继计算机基础课程夯实基础； （6）最终目标是培养在各专业领域的应用能力。,课程已结束,3.95,http://img-ph-mirror.nosdn.127.net/MhTFlEJye0GqRcwMuKaqdQ==/6608635529468916040.jpg
计算机基础与应用,https://www.icourse163.org/course/FJNU-1003147002,952,张先增,数字图像处理,福建师范大学,国家精品,2022年09月07日,2023年01月10日,数字图像处理作为当前信息技术的核心科学之一，为通信、计算机应用以及各类信息处理技术提供基础理论、基本方法、实用算法和实现方案，探索图像信息的基本表示、分析和处理方法，研究图像信息的获取、存储、传输、处理及显示的基本技术及应用。通过本课程的教学，学生可以掌握图像处理的基本理论、概念、方法和技术，配合实验，使学生能用Matalab软件实现一些基本算法和思路进行图像处理，为后续课程的学习作好铺垫，为以后从事本领域或相关领域工作、深造、研究奠定基础。,课程即将开始,4.4,http://edu-image.nosdn.127.net/CB8D219FB42FF68F33B7E5DF5E720E0A.PNG?imageView&thumbnail=510y288&quality=100
计算机基础与应用,https://www.icourse163.org/course/SDU-1001981020,969,郝兴伟,大学计算机实验,山东大学,国家精品,2022年09月05日,2022年12月26日,“大学计算机实验”是高等学校计算机公共教学的重要组成部分，是和计算思维理论教学相结合的实验课程，也可以作为计算机应用基础独立课程开设。课程以培养学生计算机应用能力为主线进行课程内容设置，内容分为六个模块，包括：计算机系统与虚拟化技术，办公软件的应用，多媒体处理，计算机编程，计算机网络配置与管理，互联网及其应用。课程的教学目标是：全面培养学生的计算机应用能力，培养学生的问题分析与求解能力，培养学生的计算思维与信息素养。最终提高学生的计算机问题求解能力和计算机应用水平。,课程即将开始,4.85,http://edu-image.nosdn.127.net/A6B7AD9C72DA5A67795F687FC1423BFA.jpg?imageView&thumbnail=426y240&quality=100
计算机基础与应用,https://www.icourse163.org/course/SUST-1205779814,877,李文育,版式设计与计算机排版,陕西科技大学,国家精品,2022年09月01日,2022年12月30日,本课程是印刷包装专业的一门专业基础课程，实践性强，课程内容结合印刷行业对印前设计、制作人员的技能要求，以典型产品为模块进行章节内容介绍，包括：版式设计基本原理、书籍封面设计与制作、书籍内页设计与制作、包装类产品设计与制作、海报宣传类产品设计与制作和VI产品设计与制作。通过课程的学习，学习者将会了解到版式设计的基本理论、排版设计软件的操作技巧，掌握各类印刷产品的设计方法和制作技术。本课程艺工结合，从印刷的角度介绍设计，适合印刷、包装、设计专业的在校学生、相关行业的从业人员，以及设计爱好者使用，也可以作为印刷企业对员工进行培训时使用。,课程即将开始,4.4,http://edu-image.nosdn.127.net/F61E58394BC71DE2E4B9A5D5B3475013.jpg?imageView&thumbnail=510y288&quality=100
计算机基础与应用,https://www.icourse163.org/course/HIT-1001617006,2561,战德臣,大学计算机—计算思维导论CAP,哈尔滨工业大学,大学先修课,2022年12月05日,2023年03月31日,"本课程是大学先修课，即你在高中阶段或上大学之前完成本课程的学习并获得结课认证证书后，在入学时参加必要的测试考核（主要确认你确实学习过），通过后则你可在大学阶段免修该课程直接获得学分，这样为你大学的学习节省时间和精力，使你在大学期间可做更多自己想要做的事情。《大学计算机》是一门什么课程呢？(1)大学计算机是面向大学一年级学生开设的，与大学数学、大学物理有一样地位的通识类思维教育课程。它不是讲授计算机及其软件(如Office，Access，IE等)如何使用的课程；它也不是仅仅训练学生程序设计内容的课程；它是讲授每个大学生都应具备的计算思维的课程，大学生创造性思维培养离不开计算思维的培养。(2)计算思维是互联网与信息时代每个人都应具备的一种思维方式。互联网公司(如阿里巴巴、Facebook、Apple、腾讯等)的成功应归属于计算思维运用的成功；1998年诺贝尔化学奖授予一个量子化学计算手段的研究者说明：计算思维对非计算机学科人才实现复合性跨学科创新是非常重要的。(3)大学阶段应更多地训练“思维”，而不应仅着眼于“知识”即事实的学习。计算机学科知识的膨胀速度是非常快的，“知识”的学习必须有所选择，因此应学习计算机学科经典的、对人们现在和未来有深刻影响的思维模式；“知识”随着“思维”讲解而介绍,“思维”随着“知识”的贯通而形成，“能力”随着“思维”的理解而提高。《大学计算机》课程应围绕着大学计算思维教育空间-计算之树，进行内容的组织和学习。(I)计算与程序，主要讲授计算与计算思维，符号化、计算化和自动化，计算系统与程序构造，程序构造方法：递归与迭代，这些是由社会/自然到计算的、最基本的抽象和自动化机制；--理解计算机最本质的内容。(II)计算系统，主要讲授程序是如何被执行的，包括内存环境下程序的执行和复杂环境下借助于操作系统管理的程序的执行，以及如何编写让计算系统可以执行的程序；--理解计算（机）系统是如何运行的。(III)算法思维，主要讲授算法类问题求解框架-问题与数学建模、算法策略设计、数据结构和控制结构以及算法复杂性与正确性，还将以案例形式介绍由问题到环境，再到受限资源约束下的问题求解算法，以及难解性问题、计算和算法之间的关系等；--理解用算法和程序求解社会/自然问题时需要考虑什么。(IV)数据化与网络化思维。数据化思维即：数据获取==>数据管理==>数据分析与运用；网络化思维即：机器网络==>信息网络==>群体互动网络==>网络化社会。--理解数据化思维和网络化思维。本课程包含前三个部分。",课程即将开始,4.45,http://img-ph-mirror.nosdn.127.net/Pi-k3AX09Y8XVBePjsJJEQ==/6597828429681640478.jpg
计算机基础与应用,https://www.icourse163.org/course/CUC-1450317378,694,韩红雷,游戏引擎原理及应用,中国传媒大学,国家精品,2023年02月26日,2023年06月12日,"游戏引擎是目前游戏开发的最重要手段，每一位有志于从事游戏开发的人员，都需要了解游戏引擎的原理，并熟练掌握至少一款主流游戏引擎的使用方法。该课程将系统讨论游戏引擎中的主要功能的实现原理，以及这些功能在Unity引擎中的使用方法。通过该课程的学习，除了可以系统了解游戏引擎原理之外，还将熟练掌握Unity游戏引擎的使用方法，并了解游戏开发的相关流程和技术特点。该课程的特点是：介绍全面、化繁为简。课程提供了超过820分钟的授课视频，包括手把手式的Unity引擎使用教程。每个案例都使用从零开始的方式搭建，抛开繁复的和所学主题无关的资源，可以让学习目的更加明晰，达到“不为浮云遮望眼,只缘身在最高层”的学习成果。",课程即将开始,4.85,http://edu-image.nosdn.127.net/BA0B91A68D551B92E14237F5FF473E8C.jpg?imageView&thumbnail=510y288&quality=100
计算机基础与应用,https://www.icourse163.org/course/NJTU-196001,5581,王移芝,大学计算机——计算思维之路,北京交通大学,国家精品,2022年10月17日,2022年12月25日, “大学计算机”是面向各专业本科生开设的计算机系列课程中第一层次的课程，是本科生必修的通识教育课程，更是二十一世纪人人都需要掌握的一种文化。本课程以培养思维能力为核心，以计算机文化素养培养、激发学生主动学习意识为主导思想，实现计算机赋能教育。 教学目标是通过学习，掌握信息化社会数据处理的方法与手段。课程基于“计算文化与计算基础—计算平台—数据处理与管理—问题求解与实现”这样一条脉络，介绍计算机科学与技术所蕴含的计算思想与计算技术；强化学生对计算机科学的认知，使之掌握大数据时代数据处理与问题求解的基本方法与手段、建立正确的科学思维模式，并初步具备灵活运用程序设计的思想与方法求解实际问题的能力。 通过本课程的学习，将培养学生学习与思维能力，实现赋能教育，倡导“人人都要学会像计算机科学家一样思考与解决问题”，灵活地运用计算技术解决问题。 整个课程共八讲，每周1讲，时长10周，通过学习来了解并掌握从计算平台到问题求解的全过程，为后续计算机程序设计等课程的深入学习奠定良好的基础。在授课过程中，我们会通过实验案例辅助知识学习与应用，在案例的不断深化和提升中，由浅入深地引导大家循序渐进地学习与练习，使之达到对问题求解的融会贯通，不断提升思维能力。,课程即将开始,4.25,http://nos.netease.com/edu-image/9deba57667e5406297aea52f31f4ea41.png
计算机基础与应用,https://www.icourse163.org/course/WHU-1003636002,72560,宋麟,FLASH动画设计与制作,武汉大学,国家精品,2019年06月03日,2019年07月27日,本课程按实际需要及由浅入深的原则，最终确定了以下三个阶段：第一阶段，Flash基本概念的介绍与简单图形的绘制。学生通过这个阶段的学习，对动画制作有个基本的客观认识，第二阶段，简单动画项目的制作（关键帧动画，补间动画）。掌握基本动画技术，以及如何创建简单元件和复杂元件。在这个阶段，会教授动画制作的基本技术，由浅入深制作若干个小作品。第三阶段，小型综合项目的制作。利用前面所学的知识，进行小型综合型的动画项目的制作。加深对前面所学动画技术的复杂操作，做到融会贯通。最终达到灵活运用各种命令完成作品的制作。,课程已结束,4.5,http://edu-image.nosdn.127.net/3A0426D60E72A4FE8426D78BFBF9C07E.png?imageView&thumbnail=510y288&quality=100
计算机基础与应用,https://www.icourse163.org/course/CSU-1002475002,2043,刘卫国,科学计算与MATLAB语言,中南大学,国家精品,2023年02月20日,2023年06月11日, 在有色金属、交通运输、化学化工、航空航天、金融工程、生物医学等许多领域，经常会遇到各种各样的计算问题。例如，求解具有几十个变量的线性或非线性方程组、求解复杂的微分方程，这些问题高度复杂，计算量很大，往往没有办法求得理论解。随着计算机技术的发展，人们可以有效地解决这类问题，由此诞生了一门新兴交叉学科—科学计算，它成为继理论研究和科学实验之后的第三种科学研究方法。 科学计算是研究工程技术问题以及其他应用问题的近似求解方法，并在计算机上进行编程实现的一门课程，它既有数学理论上的抽象性和严谨性，又有程序设计技术上的实用性和实践性。20世纪80年代以来，MATLAB等科学计算软件的产生，使得科学计算问题的实现变得十分方便、高效。 MATLAB代表了当今国际科学计算软件的先进水平，它将数值计算、符号计算、图形处理、系统仿真和程序流程控制等功能集成在统一的系统环境中，已发展成为适合多学科、广泛应用于科学研究和工程技术领域的程序设计语言。使用MATLAB作为计算工具，人们不需关注各种数值计算方法的具体细节和计算公式，也不需要繁琐的底层编程，从而可以专注于实际问题的分析和设计，大大提高工作效率和质量，为科学研究与工程应用提供重要手段。在高等学校，MATLAB已经成为许多课程的基本计算工具，颇受广大大学生、研究生的青睐。 本课程主要介绍科学计算问题的MATLAB实现方法，包括MATLAB基础知识、MATLAB矩阵处理、MATLAB程序流程控制、MATLAB绘图、数据分析与多项式计算、数值微积分与方程求解、MATLAB符号计算、MATLAB图形用户界面设计、Simulink系统仿真和外部程序接口共10个学习专题。,课程已结束,5.0,http://edu-image.nosdn.127.net/9D64EE635C7F81F9DD4FAB4D7E8304D1.jpg?imageView&thumbnail=510y288&quality=100
计算机基础与应用,https://www.icourse163.org/course/XJTU-1002057028,3089,吴宁,大学计算机CAP,西安交通大学,大学先修课,2022年08月05日,2022年09月18日, “大学计算机”课程是教育部计算机教学指导委员会指定的公共基础必修课，是学习其它计算机课程的基础，面向大学一年级新生开设。西安交通大学的“大学计算机”课程是国家级精品资源共享课，课程的总体培养目标是：在理解计算与可计算性基本理论、计算机系统平台基本原理的基础上，重点培养初步建立起利用计算机求解专业问题的基本思路、方法和能力。课程已建有包括知识导航、在线自测、动画演 示、实验操作指导等各类丰富的网上教学资源，可为在线学习提供极便利的学习环境和条件。  无论你在学习什么专业，也无论你未来将从事何种工作，计算机都会是你学习和工作中不可缺少的伙伴和助手。了解它，掌握它，驾御它，一定会给你未来的研究带来无限的便利。  作为大学先修课程，本课程是进入大学后继续学习“大学计算机___程序设计”内容的基础，也是进一步学习所有计算机类课程的基础。课程教学内容按周组织，总体含五个知识模块。第一周的引言部分，是课程的入门。包括课程的总体介绍、计算模型与可计算性、计算机系统认知等；第二周介绍计算机中的信息表示与编码，这是未来学习程序设计和系统设计的基础。包括：计算机与二进制，数值、文字及多媒体信息的表示，计算机中的常用计数制，二进制的表示与运算等；第三周介绍硬件系统组成与操作系统基本概念。讲述基本逻辑运算与逻辑门、冯·诺依曼计算机结构、微型计算机的基本工作原理等硬件基础知识。操作系统是每个使用计算机的人首先接触到的第一层软件，无论未来是否从事计算机科学研究，对操作系统原理和功能有基本了解都是必要的。课程第三周中会简要介绍什么是操作系统。进一步的内容会在进入大学后学习。该知识模块内容相对比较抽象，但作为理工科专业学生，了解微型计算机的基本工作原理和功能是极其必要的。第四周讲述网络技术及应用。包括计算机网络基本知识及因特网技术。这部分知识将帮助学习者了解网络中的信息是如何传输的。考虑到部分同学对常用办公软件的熟练使用可能不足，常用软件应用指导辅助教程。主要是目前最常使用的办公自动化软件的应用。如果你在相关方面已有很好的基础，可以跳过该部分内容。但如果你仅仅会进行简单的文档编辑，还是建议你按照该部分视频的讲解完成学习。这也是你在大学学习中一定用到的基本技能。而这些内容，在目前西安交通大学的课程学习中不会再涉及。  总之，本课程的主要目标就是为你打开计算机的大门，向你展示你可能还未曾见过的计算机内部的神秘组织以及它们的工作方式，为你进一步建立和掌握利用计算机求解问题的基本思路和方法奠定基础。,课程即将开始,4.65,http://img-ph-mirror.nosdn.127.net/YJrHsxnKvIzY9ZQI_goblg==/2151876197053275188.png
硬软件系统及原理,https://www.icourse163.org/course/HIT-1001516002,2574,战德臣,数据库系统（上）：模型与语言,哈尔滨工业大学,国家精品,2023年02月13日,2023年06月26日,本系列课程旨在使学生充分掌握数据库系统的基本概念和基本原理，熟练掌握数据库系统语言、数据库抽象与建模方法和数据库应用程序设计方法，培养学生在信息管理和信息系统方面的抽象、设计、开发、应用和管理能力。同时，数据存储、数据库查询实现、查询优化、事务处理等技术，这些内容也是计算学科学生在专业方面必须掌握的操纵数据库的能力，本课程也将为你详细讲授。本课程将分为四个部分进行介绍：一、基本知识与关系模型；二、数据库语言及其应用；三、数据建模与数据库设计；四、数据库管理系统实现技术。这四部分内容之间的关系如下图示意。这四部分内容将分为三门系列课程来开放。本课程《数据库系统（上）-模型与语言》将包括第一部分和第二部分内容。学习完本课程后，你可选择继续学习《数据库系统》系列课程的第二门《数据库系统（中）-建模与设计》或者选择继续学习《数据库系统》系列课程的第三门《数据库系统（下）-管理与技术》，这两门课为高阶课程，可以结合你的需求选择学习。本系列课程的特色：(1)本课程是一门理论性为基础、应用性为目标，理论应用相结合的计算机类主干课程；(2)抽象内容的实例化讲解是本课程的特色，通过大量具体示例，来阐释数据库相关的抽象概念和原理；(3)知识学习与案例点评相结合是本课程的特色，本课程包含数据建模和数据库设计相关的内容，重要的是知识的运用，案例点评则成为知识运用能力训练的重要手段；(4)问题导引的知识学习是本课程的特色，深入浅出，图文并茂，案例配合，面向问题地阐释数据库系统的核心内容。本课程将为学生从事大型信息系统软件的设计、开发和应用打下基础，也将为学生今后从事大规模数据的存储、操纵和分析奠定很好的基础。,课程即将开始,5.0,http://edu-image.nosdn.127.net/3913AC97B5F290EDFF3A3937D58DF7CB.png?imageView&thumbnail=426y240&quality=100
硬软件系统及原理,https://www.icourse163.org/course/RUC-488001,1190,王珊,数据库系统概论（基础篇）,中国人民大学,国家精品,2023年02月17日,2023年06月30日, “数据库系统概论”是计算机科学与技术专业、软件工程专业、信息系统与信息管理等专业重要的专业基础课程。本课程将系统讲述数据库系统的基础理论、基本技术和基本方法。本课程的知识内容和技术方法，对从事现代数据管理技术的应用、开发和研究的人员都是重要而必备的基础。本课程内容丰富全面，分为基础篇和高级篇（2023年2月24日开课）2部分讲解，作为2门课程考核和计分。此外，本课程还开设了新技术篇（2023年3月3日开课），从数据管理和数据分析的角度讨论数据库新技术与大数据技术。通过数据库系统概论（基础篇）的学习，学员可以系统地掌握数据库系统的基本原理，能熟练使用SQL语言在某一个数据库管理系统上进行数据库检索和操作，掌握数据库安全性和完整性的基本概念和基本方法。并能够在某一个数据库管理系统上进行实验。通过数据库系统概论（高级篇）的学习，学员可以系统地掌握数据库规范化理论和数据库设计的方法与步骤，具有设计和开发数据库应用系统的基本能力；掌握数据库事务处理、并发控制与恢复的基本技术、初步掌握数据库查询处理和优化的概念。并能够在某一个数据库管理系统上进行实验验证。通过数据库系统概论（新技术篇）的学习，学员可以系统地掌握传统数据库技术的最新发展，大数据管理与系统的新概念、新技术和新应用。 本课程的特点是，理论联系实际。我们不仅希望学员通过阅读和书面习题掌握本课程的内容，还要求学员完成实验项目。为此我们针对课程知识点设置了相应的实验，锻炼学员实际动手能力，启发学员对理论知识的思考和理解，达到理论联系实际的教学效果。 本课程是教育部—华为“智能基座”精品课程之一。,课程即将开始,2.0,http://nos.netease.com/edu-image/344e01f15bbc4570863e6d95933931fe.jpg
硬软件系统及原理,https://www.icourse163.org/course/HIT-1002531008,70289,李治军,操作系统,哈尔滨工业大学,国家精品,2020年02月10日,2020年06月30日,"   本课程以“如何给一个拥有单核 CPU、内存、磁盘、键盘和显示器的基本计算机配备一个可实际运转的操作系统?”这一基本问题作为主线。本课程对一个基本操作系统中的六个基本模块，即 CPU 管理、内存管理、外设管理、磁盘管理与文件系统、用户接口和启动模块，以及这些模块之间的内在联系，进行了深入细致地原理教授、算法与数据结构设计,并借鉴开源操作系统 Linux 全面讲授了整个操作系统的代码实现。通过本系列课程的学习，学生可以体会一个完整的操作系统是如何良好运转的，据此培养学生设计和实现一个完整操作系统的能力，进而在未来从事计算机系统层面的工作时能应用这些能力和经验，最终逐渐形成计算机系统能力。同时本课程包含了进程设计与实现、虚存设计与实现、外设驱动与实现在内的12个配套实验，通过丰富的实践环节，使学生真正掌握设计、实现和分析完整操作系统的能力。",课程已结束,4.95,http://edu-image.nosdn.127.net/2D71A6B0197DF6FBACEB0557512C39BA.png?imageView&thumbnail=510y288&quality=100
硬软件系统及原理,https://www.icourse163.org/course/WHU-1001539003,207224,李春葆,数据结构,武汉大学,国家精品,2017年03月20日,2017年07月07日,从本质上讲，数据结构属于编程类的课程，是程序设计语言课程的进阶篇。首先，程序是对数据的操作，由输入产生输出。对于比较复杂的数据，就需要从数据结构的角度来组织和存储数据，如采用数组还是链表存储结构更加高效；另外，对于比较复杂的数据操作，就需要采用一些特定的数据结构来求解，如判断一个表达式中的括号是否匹配，就需要采用栈来处理。所以数据结构课程中讲解人们在软件开发中常见的各种数据结构，并从逻辑结构到存储结构，再到运算算法设计3个层面加以学习。程序设计解决问题往往有多种方法，且不同方法之间的效率可能相差甚远。程序的时间和空间效率，不仅跟数据的组织方式有关，也跟处理流程的巧妙程度有关。本课程将介绍有关数据组织、算法设计、时间和空间效率的概念和通用分析方法，帮助学生学会数据的组织方法和一些典型算法的实现，能够针对问题的应用背景分析，选择合适的数据结构，从而培养高级程序设计技能。从计算机科学专业的课程设置来看，数据结构是重要的专业基础课。在计算机软件类课程体系中处于承上启下的核心地位，它一方面扩展和深化在离散数学、程序设计语言等课程学到的基本技术和方法，另一方面为进一步学习其他专业课（如算法设计与分析、操作系统、软件工程等）奠定坚实的理论与实践基础。,课程已结束,3.25,http://edu-image.nosdn.127.net/0BBFB342EBF1A91D80C536B00903AF59.jpg?imageView&thumbnail=426y240&quality=100
硬软件系统及原理,https://www.icourse163.org/course/NJTU-1002080018,606,戴胜华,微机原理与接口技术,北京交通大学,国家精品,2023年02月13日,2023年06月23日,课程以x86 CPU为主线，原理和实验相结合。通过学习本课程，使学生理解微机系统的结构、工作原理和中断技术、DMA技术，掌握汇编语言程序设计、存储器扩展设计和I/O接口扩展设计方法，培养运用微机分析问题与解决问题的思维方式，并初步具备微机应用系统的开发与设计能力。,课程即将开始,4.85,http://edu-image.nosdn.127.net/1F51AD8A59D9A7A964F7384C6401950C.jpg?imageView&thumbnail=510y288&quality=100
硬软件系统及原理,https://www.icourse163.org/course/HUST-1003159001,3899,秦磊华,计算机组成原理,华中科技大学,国家精品,2023年02月01日,2023年06月30日,"“计算机组成原理”是一门理论性、工程性、技术性和实践性都很强的核心专业基础课程，在计算机学科系列课程中处于承上启下的作用。 课程教学目标是通过相关的教学活动，帮助学生理解计算机基本组成部件(包括运算器、控制器、存储器、输入/输出)的结构、工作原理、内部运行机制和设计方法。加深学生对计算机软、硬件系统的整体化理解，建立硬件/软件协同的整机概念，并有效增强学生的计算机系统设计能力。课程学习为研究生考试、后续课程（如系统结构，并行编程、嵌入式系统、接口技术）的学习，参加IT企业招聘等都奠定了坚实的基础。本MOOC 课程具有如下特点：1.面向系统能力培养的教学设计结合课程特点与教学目标，创造性提出基于构造观、系统观、工程观的教学设计。其中，构造观重在培养软/硬功能部件设计方法，提升部件级的设计能力；系统观强调硬件结构对软件执行正确性及性能的影响，提升学生软硬协同的系统分析与解决问题的能力；工程观训练考虑工程制约因素,选择恰当技术、优化工程的意识，提升系统实现能力。2.精心设计实验内容结合教学团队多年系统能力培养实践教学经验，参考国际一流计算机专业相关课程的先进经验，引入了易学易用的免费开源虚拟仿真实验平台，本着理论实践一体化、实验目标系统化、课内课外协同化等原则，建立了逐层递进、立足计算机系统、设计型实验为主导的实践教学体系开发了系列原创的课程实验，引导学生从逻辑门电路开始逐步设计运算部件、存储器、数据通路和控制器、流水线冲突冒险机制直至完整的MIPS 流水CPU来深入理解计算机软硬件系统。",课程即将开始,4.25,http://edu-image.nosdn.127.net/8EA2B6D4CF0CCE3155519C2BFDD46AE7.jpg?imageView&thumbnail=510y288&quality=100
硬软件系统及原理,https://www.icourse163.org/course/RUC-1001965017,265,王珊,数据库系统概论（新技术篇）,中国人民大学,国家精品,2023年03月03日,2023年06月30日, 数据库是一门关于数据存储、管理、处理和分析挖掘的学科。 随着计算机软硬件技术的进步，特别是大数据的出现，数据库技术获得快速发展，新技术和新系统层出不穷。 数据库系统概论的基础篇和高级篇课程已经系统讲述了数据库系统的基础理论、基本技术和基本方法。数据库系统概论的新技术篇将从数据管理和数据分析的角度来讨论数据库新技术与大数据技术。系统地讲解传统数据库技术的最新发展，大数据管理与系统的新概念、新技术和新应用。 我们力求深入浅出，使得数据库系统概论（新技术篇）不仅可以作为高等学校计算机类专业高年级本科生和研究生数据库课程的教学内容，而且能为广大学员和科技人员提供有益参考。1.课程内容：系统地讲解传统数据库技术的最新发展，以及大数据管理与系统的最新前沿技术。2. 授课面向：高年级学生、研究生、教师和广大科技人员。3. 讲课老师：中国人民大学中青年优秀教师（16位）4. 深入浅出：大同行能够听懂。数据库系统概论（新技术篇）分为两大部分。第一部分是数据库的新技术概论。包括：l 数据库新技术概述讲者：王珊教授；l 内存数据库讲者：张延松博士，副教授；l 数据库一体机讲者：周烜博士，教授；l 数据仓库和OLAP分析讲者：陈红博士，教授；l 数据挖掘讲者：李翠平博士，教授；l 数据库安全性新技术讲者：秦波博士，副教授；l 开源数据库系统讲者：张孝博士，教授；第二部分是大数据技术概论。包括：l 大数据概述： 主要介绍大数据基本概念、大数据技术架构和大数据应用。讲者：杜小勇博士，教授；文继荣博士，教授；l 大数据平台： 主要介绍键值对系统、流数据处理系统、NoSQL数据库、文档数据库、图数据库等。讲者：覃雄派，副教授；陈跃国博士，副教授；窦志成博士，教授；卢卫博士，副教授；l 大数据算法与分析：主要介绍大数据近似算法、大数据与机器学习、社交网络大数据分析、文本互联网大数据分析、多媒体大数据分析等。讲者：魏哲巍博士，教授；卢志武博士，教授；赵鑫博士，教授；窦志成博士，教授；刘家俊博士，副教授；,课程即将开始,4.1,http://edu-image.nosdn.127.net/2973B960812360946CD9CA2E46C2FA30.jpg?imageView&thumbnail=426y240&quality=100
硬软件系统及原理,https://www.icourse163.org/course/NJTU-1002530017,1219,刘铎,离散数学,北京交通大学,国家精品,2023年02月13日,2023年06月25日,“离散数学”是面向所有专业的本科生、专科生和社会公众开放的基础课程。“离散数学”研究不同离散量的各自结构、规律及相互关系的一门学科。它在程序设计语言、数据结构、操作系统、软件工程、数据库原理、计算机网络、人工智能、软件设计形式化等方面都有广泛的应用，具有研究性、实践性、创新性强的特点，不仅强调对知识的理解和掌握，还强调方法论的学习。本课程共8讲，学生学习全部课程内容并完成测验、作业大约共计10-12周；每讲之后学生需要完成单元测试及作业；还要参加期末考试。,课程即将开始,3.95,http://edu-image.nosdn.127.net/1601E461438E7CB0145EBA38D9A318E7.png?imageView&thumbnail=510y288&quality=100
硬软件系统及原理,https://www.icourse163.org/course/NEU-1003734012,36,李建华,数据结构,东北大学,国家精品,2023年02月27日,2023年04月30日,如果想学好程序设计，一定要学会《数据结构》课程。在大数据（Big Data）时代，数据量大且复杂多样，如何实现快速分析处理，发现其中潜在的价值，一直是科研人员关注的问题。《数据结构》课程面向程序设计时的数据对象，分析数据元素之间的逻辑结构，探讨数据元素的存储方法，了解常用算法并评估各种算法的性能。在课程中，将讨论数据元素之间的线性结构、非线性结构以及集合上的查找与排序方法。学习该课程有助于学习者获得数据抽象能力，能够从逻辑上组织数据并采取合适的存储方法，进而设计出满足实际需求的高效算法，为将来利用人工智能方法从大数据中快速发现潜在的价值奠定坚实的技术基础。本课程合理组织传统《数据结构》的内容，精简提炼重要和关键知识点，兼顾知识的基础性、实践性和可扩展性。由于该课程的理论性和实践性都很强，为此编写了覆盖主要知识点的习题和测验，以及强化学生实践能力的、难度适中的算法设计题。相信学习者通过线上和线下认真学习，一定能够在较短的时间内掌握数据结构知识。,课程即将开始,4.05,http://edu-image.nosdn.127.net/AF0122B36765D9440FA629171C880C37.JPG?imageView&thumbnail=510y288&quality=100
